선박청코드항명,연도,월,분기,외내항구분,수출입구분,선종명,시설명,부두구분명,톤코드명,국가,톤코드,국내선박수,국내선박톤수,외국선박수,외국선박톤수,전체선박수,전체선박톤수
신항,2024,07,3,내항,입항,기타선,신항2부두,컨테이너부두,100 -  500톤미만,아국선,2,1,200,0,0,1,200
북항,2024,07,3,내항,입항,기타선,A 박지,일반부두,100 -  500톤미만,아국선,2,1,322,0,0,1,322
신항,2024,07,3,외항,입항,풀 컨테이너선,신항7부두,컨테이너부두,"25,000-30,000톤미만",외국선,11,0,0,1,27968,1,27968
감천,2024,08,3,외항,입항,어선,동성실업부두,일반부두,"500 - 1,000톤미만",외국선,3,0,0,3,2318,3,2318
북항,2024,06,2,외항,입항,원유 운반선,남외항 박지,일반부두,"60,000-75,000톤미만",외국선,14,0,0,1,63294,1,63294
감천,2024,07,3,외항,입항,석유정제품 운반선,기타,일반부두,"1,000 - 3,000미만",아국선,4,1,2490,0,0,1,2490
감천,2024,06,2,외항,입항,일반화물선,제일제당부두,일반부두,"1,000 - 3,000미만",아국선,4,2,2263,0,0,2,2263
신항,2024,07,3,외항,입항,풀 컨테이너선,신항3부두,컨테이너부두,"30,000-50,000톤미만",아국선,12,1,40741,0,0,1,40741
감천,2024,07,3,외항,입항,케미칼 운반선,감천항조선소,일반부두,"3,000-5,000톤미만",외국선,5,0,0,1,3380,1,3380
북항,2024,07,3,내항,입항,석유정제품 운반선,7 부두,일반부두,100 -  500톤미만,아국선,2,1,200,0,0,1,200
감천,2024,08,3,외항,입항,일반화물선,감천항조선소,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,1477,1,1477
감천,2024,08,3,외항,입항,냉동.냉장선,동양해운부두,일반부두,"7,000-10,000톤미만",외국선,7,0,0,4,28730,4,28730
북항,2024,07,3,외항,입항,풀 컨테이너선,남외항 박지,일반부두,"50,000-60,000톤미만",외국선,13,0,0,1,54592,1,54592
북항,2024,08,3,외항,입항,풀 컨테이너선,신선대 부두,컨테이너부두,"25,000-30,000톤미만",외국선,11,0,0,11,301438,11,301438
북항,2024,08,3,외항,입항,산물선,남외항 박지,일반부두,"1,000 - 3,000미만",외국선,4,0,0,3,5483,3,5483
신항,2024,08,3,외항,입항,쎄미 컨테이너선,신항다목적부두,컨테이너부두,"5,000-7,000톤미만",아국선,6,7,37233,0,0,7,37233
북항,2024,08,3,외항,입항,LPG.LNG 운반선,남외항 박지,일반부두,"7,000-10,000톤미만",외국선,7,0,0,1,7058,1,7058
북항,2024,07,3,외항,입항,산물선,남외항 박지,일반부두,"75,000-100,000톤미만",외국선,15,0,0,1,89659,1,89659
감천,2024,07,3,외항,입항,산물선,감천중앙부두,일반부두,"3,000-5,000톤미만",아국선,5,1,4105,0,0,1,4105
북항,2024,08,3,외항,입항,풀 컨테이너선,감만부두,컨테이너부두,"3,000-5,000톤미만",아국선,5,2,7472,0,0,2,7472
북항,2024,08,3,외항,입항,풀 컨테이너선,신선대 부두,컨테이너부두,"10,000-15,000톤미만",아국선,8,3,37635,0,0,3,37635
북항,2024,08,3,외항,입항,풀 컨테이너선,신선대 부두,컨테이너부두,"10,000-15,000톤미만",외국선,8,0,0,4,54384,4,54384
감천,2024,08,3,외항,입항,일반화물선,제일제당부두,일반부두,"3,000-5,000톤미만",외국선,5,0,0,2,8782,2,8782
북항,2024,08,3,외항,입항,어선,기타,일반부두,"500 - 1,000톤미만",외국선,3,0,0,7,4972,7,4972
북항,2024,07,3,내항,입항,산물선,안벽,일반부두,"3,000-5,000톤미만",아국선,5,1,4713,0,0,1,4713
북항,2024,07,3,외항,입항,케미칼 운반선,기타,일반부두,"1,000 - 3,000미만",아국선,4,1,2517,0,0,1,2517
신항,2024,08,3,내항,입항,원유 운반선,신항 U 정박지,일반부두,"500 - 1,000톤미만",아국선,3,1,549,0,0,1,549
감천,2024,07,3,내항,입항,기타선,한진해운부두,컨테이너부두,100톤미만,아국선,1,1,40,0,0,1,40
신항,2024,08,3,외항,입항,풀 컨테이너선,신항6부두,컨테이너부두,"75,000-100,000톤미만",외국선,15,0,0,7,641687,7,641687
북항,2024,08,3,외항,입항,풀 컨테이너선,M 박지,일반부두,"5,000-7,000톤미만",아국선,6,1,6490,0,0,1,6490
북항,2024,03,1,외항,입항,풀 컨테이너선,M 박지,일반부두,"20,000-25,000톤미만",외국선,10,0,0,2,41840,2,41840
북항,2024,03,1,외항,입항,풀 컨테이너선,감만부두,컨테이너부두,"3,000-5,000톤미만",아국선,5,9,40692,0,0,9,40692
북항,2024,03,1,외항,입항,산물선,남외항 박지,일반부두,"25,000-30,000톤미만",외국선,11,0,0,3,79363,3,79363
북항,2024,03,1,외항,입항,석유정제품 운반선,8 부두,일반부두,"500 - 1,000톤미만",아국선,3,1,610,0,0,1,610
신항,2024,03,1,외항,입항,풀 컨테이너선,신항 U 정박지,일반부두,"7,000-10,000톤미만",외국선,7,0,0,5,49736,5,49736
신항,2024,03,1,외항,입항,풀 컨테이너선,신항2부두,컨테이너부두,"25,000-30,000톤미만",외국선,11,0,0,15,403016,15,403016
북항,2024,03,1,내항,입항,원유 운반선,물량장,일반부두,"500 - 1,000톤미만",아국선,3,6,3294,0,0,6,3294
북항,2024,05,2,외항,입항,어선,E 박지,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,2168,1,2168
북항,2024,03,1,외항,입항,풀 컨테이너선,7 부두,일반부두,"5,000-7,000톤미만",외국선,6,0,0,10,59859,10,59859
북항,2024,03,1,외항,입항,일반화물선,남외항 박지,일반부두,"1,000 - 3,000미만",아국선,4,4,6251,0,0,4,6251
감천,2024,03,1,외항,입항,냉동.냉장선,한일물류부두,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,1221,1,1221
신항,2024,03,1,외항,입항,풀 컨테이너선,신항1부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,6,108699,6,108699
북항,2024,03,1,외항,입항,일반화물선,남외항 박지,일반부두,"7,000-10,000톤미만",외국선,7,0,0,16,144392,16,144392
감천,2024,03,1,외항,입항,기타선,기타,일반부두,100 -  500톤미만,외국선,2,0,0,2,597,2,597
신항,2024,03,1,외항,입항,풀 컨테이너선,신항3부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,1,40487,1,40487
북항,2024,03,1,외항,입항,자동차 운반선,남외항 박지,일반부두,"3,000-5,000톤미만",외국선,5,0,0,1,3741,1,3741
감천,2024,03,1,외항,입항,산물선,한진해운부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,3,105970,3,105970
북항,2024,03,1,외항,입항,풀 컨테이너선,자성대 부두,컨테이너부두,"15,000-20,000톤미만",아국선,9,7,118291,0,0,7,118291
신항,2024,03,1,내항,입항,석유정제품 운반선,신항 U 정박지,일반부두,"1,000 - 3,000미만",아국선,4,5,8730,0,0,5,8730
신항,2024,03,1,외항,입항,풀 컨테이너선,신항2부두,컨테이너부두,"60,000-75,000톤미만",외국선,14,0,0,12,849148,12,849148
신항,2024,03,1,외항,입항,풀 컨테이너선,신항2부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,10,400441,10,400441
신항,2024,04,2,외항,입항,풀 컨테이너선,신항2부두,컨테이너부두,"30,000-50,000톤미만",아국선,12,1,40839,0,0,1,40839
감천,2024,05,2,외항,입항,기타선,기타,일반부두,100 -  500톤미만,아국선,2,1,281,0,0,1,281
감천,2024,03,1,외항,입항,일반화물선,제일제당부두,일반부두,"10,000-15,000톤미만",외국선,8,0,0,1,14717,1,14717
북항,2024,03,1,외항,입항,여객선,신국제여객터미널,일반부두,"50,000-60,000톤미만",외국선,13,0,0,1,55254,1,55254
신항,2024,03,1,외항,입항,풀 컨테이너선,신항2부두,컨테이너부두,"20,000-25,000톤미만",외국선,10,0,0,1,24488,1,24488
북항,2024,03,1,내항,입항,산물선,O 박지,일반부두,"1,000 - 3,000미만",아국선,4,4,7843,0,0,4,7843
북항,2024,03,1,외항,입항,일반화물선,안벽,일반부두,"3,000-5,000톤미만",외국선,5,0,0,2,9239,2,9239
감천,2024,03,1,외항,입항,케미칼 운반선,모든부두,일반부두,"7,000-10,000톤미만",외국선,7,0,0,1,8263,1,8263
감천,2024,03,1,내항,입항,산물선,동양해운부두,일반부두,"5,000-7,000톤미만",아국선,6,1,5459,0,0,1,5459
북항,2024,05,2,외항,입항,케미칼 운반선,기타,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,2579,1,2579
북항,2024,03,1,외항,입항,석유정제품 운반선,기타,일반부두,"1,000 - 3,000미만",아국선,4,1,1056,0,0,1,1056
북항,2024,03,1,외항,입항,어선,남외항 박지,일반부두,100 -  500톤미만,아국선,2,1,394,0,0,1,394
감천,2024,03,1,내항,입항,기타선,한진해운부두,컨테이너부두,100 -  500톤미만,아국선,2,2,5219,0,0,2,5219
감천,2024,03,1,외항,입항,기타선,감천항조선소,일반부두,100 -  500톤미만,외국선,2,0,0,1,499,1,499
북항,2024,05,2,외항,입항,일반화물선,기타,일반부두,100 -  500톤미만,아국선,2,1,1154,0,0,1,1154
북항,2024,07,3,외항,입항,산물선,남외항 박지,일반부두,"7,000-10,000톤미만",외국선,7,0,0,4,33062,4,33062
북항,2024,07,3,외항,입항,케미칼 운반선,안벽,일반부두,"5,000-7,000톤미만",외국선,6,0,0,1,5677,1,5677
감천,2024,06,2,내항,입항,산물선,동양해운부두,일반부두,"7,000-10,000톤미만",아국선,7,1,7189,0,0,1,7189
감천,2024,07,3,내항,입항,석유정제품 운반선,도양물류부두,일반부두,"500 - 1,000톤미만",아국선,3,1,575,0,0,1,575
